Stakeholder type;Workplace setting;Data storage;Interpretation of results;Tissue quality;QFeasibility_Small;QFeasibility_Broad;QTestingPathwaySmall _Aanvrag_Low;QTestingPathwaySmall _Aanvrag_Likely;QTestingPathwaySmall _Aanvrag_Highest;QTestingPathwaySmall _Binen_Low;QTestingPathwaySmall _Binnenkomst_Likely;QTestingPathwaySmall _Binnenkomst_Highest;QTestingPathwayBroad _Aanvrag_Low;QTestingPathwayBroad_Aanvrag_Likely;QTestingPathwayBroad_Aanvrag_Highest;QTestingPathwayBroad_Binen_Low;QTestingPathwayBroad _Binnenkomst_Likely;QTestingPathwayBroad _Binnenkomst_Highest;Number of biopsy procedures;Completeness of results;QTestingPathwaySmall;QTestingPathwayBroad;Treatment options;Germline alterations;Biomarkers for informing diagnosis;Pharmacogenomic profiles;Biomarkers for non-response or prognosis;QImplicationsSmall;QImplicationsBroad;Test Uniformity;Future-proofing;QOrganizationSmall;QOrganizationBroad;Infrastructure for learning care system;Learning care system;QScientificSmall;QScientificBroad;QMCDA1_Clinical;QMCDA1_Cost;QMCDA1_Feasibility;QMCDA1_Test;QMCDA1_Implications;QMCDA1_Organization;QMCDA1_Scientific;QMCDA2_Feasibility;QMCDA2_Test;QMCDA2_Implications;QMCDA2_Organization;QMCDA2_Scientific
CMBP;Academic Center;Agree;Agree;Agree;100;75;;;;5;8;10;;;;8;10;12;Disagree;Neither agree nor disagree;100;70;Disagree;Disagree;Disagree;Somewhat disagree;Disagree;80;95;Disagree;Disagree;100;90;Disagree;Neither agree nor disagree;50;70;40;0;0;55;0;0;5;0;100;0;0;0
CMBP;Academic Center;Agree;Agree;Agree;100;95;3;5;10;4;6;12;7;11;13;8;12;14;Somewhat disagree;Agree;75;95;Agree;Disagree;Agree;Somewhat agree;Somewhat agree;10;95;Agree;Agree;40;95;Agree;Somewhat agree;10;95;30;5;30;5;5;20;5;30;5;20;40;5
CMBP;Academic Center,General Center;Agree;Agree;NA;100;100;;;;;;;;;;8;9;10;NA;Agree;;100;NA;NA;NA;NA;NA;;100;Agree;Agree;;100;Somewhat agree;Agree;;100;25;15;15;5;15;15;10;30;5;20;25;20
Pathologist;General Center;Dont know;Agree;Somewhat agree;;;;;;;;;7;12;20;10;15;23;Somewhat disagree;Agree;;;Agree;Somewhat agree;Agree;Neither agree nor disagree;Agree;;;Disagree;Agree;;;Dont know;Neither agree nor disagree;;;40;20;20;0;0;20;0;50;0;0;50;0
CMBP;Academic Center;Agree;Agree;Somewhat disagree;95;80;5;8;10;6;9;11;7;10;12;8;12;14;Neither agree nor disagree;Agree;90;;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Dont know;Neither agree nor disagree;70;90;Agree;Agree;70;95;Disagree;Neither agree nor disagree;80;95;55;20;10;5;5;5;0;0;10;60;20;10
Pathologist;General Center;NA;Agree;Disagree;96;;3;6;15;3;6;15;10;15;25;10;15;25;Disagree;Disagree;81;18;Disagree;Disagree;Disagree;Dont know;Disagree;81;17;Disagree;Dont know;;;Disagree;Dont know;;;0;100;0;0;0;0;0;40;60;0;0;0
Pulmonologist;General Center;NA;Agree;Neither agree nor disagree;90;70;2;7;14;2;6;13;7;14;21;7;10;18;Neither agree nor disagree;Somewhat agree;80;90;Agree;Disagree;Neither agree nor disagree;Somewhat agree;Agree;30;90;Dont know;Agree;30;80;Disagree;Agree;30;80;50;15;0;15;10;0;10;10;40;30;10;10
Pathologist;Academic Center;Dont know;Agree;Agree;81;80;5;8;10;5;8;10;7;10;15;7;10;15;Agree;Somewhat agree;70;70;Agree;Somewhat agree;Somewhat agree;Dont know;Agree;60;80;Agree;Agree;;;Somewhat disagree;Somewhat agree;;;35;10;5;5;25;5;15;30;0;30;20;20
CMBP;Academic Center;Agree;Agree;Agree;90;100;3;5;6;4;6;8;4;6;8;5;7;10;Somewhat agree;Agree;80;90;Somewhat agree;Disagree;Somewhat agree;Dont know;Agree;51;90;Agree;Agree;30;100;Somewhat disagree;Agree;40;100;25;15;20;20;10;0;10;40;40;10;0;10
Patient representative;Not Applicable;NA;Agree;NA;;;;;;;;;;;;;;;NA;Agree;;;Agree;Disagree;Agree;Agree;Agree;20;90;Agree;Agree;17;84;Somewhat agree;Agree;21;92;50;0;0;0;50;0;0;0;70;30;0;0
Patient representative;Not Applicable;NA;NA;NA;;;;;;;;;;;;;;;Agree;Agree;;;Agree;Agree;Agree;Agree;Agree;;;Agree;Agree;;;Agree;Agree;;;30;0;0;20;30;0;20;0;50;30;0;20
Patient representative;Not Applicable;NA;NA;NA;;;;;;;;;;;;;;;Agree;Agree;;;Agree;Neither agree nor disagree;Agree;Somewhat agree;Agree;;;Agree;Agree;;;Somewhat agree;Neither agree nor disagree;;;0;0;30;10;20;20;20;40;10;20;30;0
CMBP;General Center;Agree;Agree;Agree;100;75;;;;5;8;10;;;;8;10;12;Disagree;Neither agree nor disagree;100;70;Disagree;Disagree;Disagree;Somewhat disagree;Disagree;80;95;Disagree;Disagree;100;90;Disagree;Neither agree nor disagree;50;70;40;0;0;55;0;0;5;0;100;0;0;0
CMBP;General Center;Agree;Agree;NA;100;100;;;;;;;;;;8;9;10;NA;Agree;;100;NA;NA;NA;NA;NA;;100;Agree;Agree;;100;Somewhat agree;Agree;;100;25;15;15;5;15;15;10;30;5;20;25;20
